City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,yeed,4.55,43.0333,301.55,57,97,7.71,SO,1697574992
158,mersing,2.4312,103.8405,298.1,94,40,0.0,MY,1697574992
159,antsiranana,-12.2787,49.2917,296.81,83,11,4.78,MG,1697574992
160,weno,7.4515,151.8468,300.12,94,75,1.54,FM,1697574993
161,kapa'a,22.0752,-159.319,301.54,63,0,1.79,US,1697574993
162,alesund,62.4723,6.1549,280.56,89,75,1.54,NO,1697574955
163,grants pass,42.439,-123.3284,295.07,70,31,0.73,US,1697574823
164,anadyr,64.75,177.4833,266.43,85,20,4.0,RU,1697574994
165,huilong,31.8111,121.655,289.78,72,0,3.87,CN,1697574761
166,enshi,30.3,109.4833,288.83,89,6,0.59,CN,1697574813
167,westport,41.1415,-73.3579,291.09,62,100,3.09,US,1697574996
168,yangchun,22.1667,111.7833,295.42,82,100,2.26,CN,1697574996
169,aasiaat,68.7098,-52.8699,256.57,83,28,2.2,GL,1697574996
170,suncho corral,-27.9336,-63.4294,291.64,65,100,4.07,AR,1697574997
171,oranjemund,-28.55,16.4333,291.49,74,0,3.49,NA,1697574997
172,mossel bay,-34.1831,22.146,290.88,76,0,0.74,ZA,1697574998
173,luderitz,-26.6481,15.1594,293.24,58,1,3.09,NA,1697574998
174,xai-xai,-25.0519,33.6442,292.28,87,46,3.16,MZ,1697574768
175,prado,-17.3411,-39.2208,297.47,76,8,4.58,BR,1697574999
176,tiksi,71.6872,128.8694,257.31,100,100,0.89,RU,1697574999
177,nsanje,-16.92,35.262,295.13,93,100,0.99,MW,1697574999
178,sao vicente,-23.9631,-46.3919,303.25,57,100,2.57,BR,1697575000
179,ankang,32.68,109.0172,291.75,79,99,0.84,CN,1697575000
180,codrington,-38.2667,141.9667,281.26,75,0,3.09,AU,1697575001
181,kaiapoi,-43.3783,172.6401,285.68,81,68,3.09,NZ,1697575001
182,ciudad lazaro cardenas,17.9583,-102.2,301.12,81,97,2.11,MX,1697574927
183,gadzhiyevo,69.2551,33.3362,275.46,69,100,6.28,RU,1697575002
184,talnakh,69.4865,88.3972,272.71,95,100,5.33,RU,1697575003
185,san patricio,28.017,-97.5169,299.36,27,0,0.62,US,1697575003
186,uthal,25.8072,66.6219,299.6,78,0,1.84,PK,1697575003
187,awjilah,29.1081,21.2869,295.93,40,0,1.58,LY,1697575004
188,port douglas,-16.4833,145.4667,296.58,77,100,3.59,AU,1697575005
189,inhambane,-23.865,35.3833,294.02,89,83,3.85,MZ,1697575005
190,cambria,35.5641,-121.0808,304.01,52,0,3.88,US,1697574972
191,dunhua,43.3725,128.2425,279.25,59,100,2.66,CN,1697575006
192,ketchikan,55.3422,-131.6461,285.14,87,100,8.23,US,1697574928
193,yuzhno-kurilsk,44.0306,145.8556,283.91,75,92,12.59,RU,1697575007
194,rio grande,-32.035,-52.0986,294.21,72,99,8.73,BR,1697575008
195,howard springs,-12.497,131.047,298.1,71,84,0.84,AU,1697575008
196,east london,-33.0153,27.9116,290.6,79,2,7.89,ZA,1697575008
197,la palma,33.8464,-118.0467,307.52,64,20,3.09,US,1697575009
198,afonso bezerra,-5.4983,-36.5056,301.54,48,66,6.93,BR,1697575009
199,betio village,1.358,172.9211,301.17,75,95,5.87,KI,1697575010
200,dunedin,-45.8742,170.5036,285.26,68,97,1.34,NZ,1697575010
201,geraldton,-28.7667,114.6,290.38,82,75,4.12,AU,1697575010
202,port moresby,-9.4431,147.1797,297.83,94,75,1.54,PG,1697575011
203,meadow lakes,61.6247,-149.6011,283.87,52,0,3.6,US,1697575011
204,amos,48.5669,-78.1162,283.52,59,10,0.39,CA,1697575012
205,san-pedro,4.7485,-6.6363,297.77,92,48,1.45,CI,1697575012
206,akureyri,65.6835,-18.0878,278.11,75,20,0.51,IS,1697575012
207,pocatello,42.8713,-112.4455,294.36,36,0,11.83,US,1697574918
208,seymour,38.9592,-85.8903,287.75,41,67,2.61,US,1697575013
209,suileng,47.25,127.0833,280.47,66,100,2.52,CN,1697575013
210,santa marta,11.2408,-74.199,305.18,73,20,3.09,CO,1697575014
211,kailua-kona,19.6406,-155.9956,302.75,73,20,4.63,US,1697575014
212,nadi,-17.8,177.4167,299.15,73,20,1.03,FJ,1697575014
213,niederrad,50.0831,8.6285,281.22,76,0,3.6,DE,1697575015
214,hirara,24.8,125.2833,296.3,68,75,2.06,JP,1697575015
215,bourg-saint-andeol,44.3757,4.6427,289.75,90,100,1.29,FR,1697575016
216,chachersk,52.9164,30.9179,279.1,64,80,5.78,BY,1697575016
217,tot'ma,59.9747,42.7642,274.81,95,100,5.33,RU,1697575016
218,bathsheba,13.2167,-59.5167,303.49,70,40,7.2,BB,1697575017
219,sainte-marie,-20.8968,55.5496,298.24,87,0,2.57,RE,1697575017
220,la punta,-33.1837,-66.3127,297.36,23,12,5.7,AR,1697575018
221,balotra,25.8333,72.2333,299.98,53,1,1.38,IN,1697575018
222,coyhaique,-45.5752,-72.0662,291.49,42,0,3.09,CL,1697575018
223,sao gabriel da cachoeira,-0.1303,-67.0892,302.75,65,53,1.59,BR,1697575019
224,shimoda,34.6667,138.95,289.32,67,0,4.29,JP,1697575019
